,frame,shoulder_angle,hip_angle,elbow_angle,wrist_x,wrist_y,club_x,club_y
0,0,9.09154937027884,172.2281668344215,43.11346665731706,0.5651618838310242,0.4967248737812042,0.5592711865901947,0.4908013790845871
1,1,8.831985459363656,173.0991660031441,35.15554908816532,0.5636677742004395,0.4968331754207611,0.5566886365413666,0.4908546358346939
2,2,8.649430523420795,174.29639226787546,32.49644059337296,0.5628849267959595,0.4969949722290039,0.5554852187633514,0.49077096581459045
3,3,8.546774244985658,175.14736367801962,31.70287204420887,0.5627344846725464,0.49704450368881226,0.5551289319992065,0.4906986951828003
4,4,8.569340214462985,175.40967024958934,31.38387819614541,0.5627337694168091,0.49705633521080017,0.5548635721206665,0.490340456366539
5,5,8.73030216302348,175.667774760115,27.769783981681048,0.5626959800720215,0.4971040189266205,0.5525658130645752,0.48959997296333313
6,6,8.653632295264789,176.01853236908408,27.662097128516237,0.5626366138458252,0.4967115521430969,0.552087813615799,0.48856379091739655
7,7,8.584515396223598,176.73315273312275,29.150277477397143,0.5621000528335571,0.49630868434906006,0.5518311858177185,0.48899631202220917
8,8,8.566724964133778,177.09152364279572,29.97298384469637,0.5616133213043213,0.49631065130233765,0.5515406429767609,0.48956844210624695
9,9,8.648647824789585,177.67456992534136,30.806309254471095,0.5600963830947876,0.4963470697402954,0.5507971942424774,0.4900304228067398
10,10,9.112845903492548,178.1687786785887,28.96932362310367,0.5586304664611816,0.49644553661346436,0.5496827065944672,0.4900858551263809
11,11,9.643038032247764,178.33083663765777,28.489297454878752,0.5570693612098694,0.4961148798465729,0.5469762086868286,0.4877534806728363
12,12,9.89577050555006,178.61174674206842,27.8981642438769,0.5558243989944458,0.4951370060443878,0.5450955033302307,0.48431096971035004
13,13,10.112264241210212,178.99249716394846,27.666972589923027,0.5550578832626343,0.4940243363380432,0.5433797538280487,0.4838827848434448
14,14,10.420014508397653,179.73946365095858,28.28818245748403,0.5545809268951416,0.49372392892837524,0.5424709320068359,0.4837208390235901
15,15,10.955546796233659,178.77124430306915,27.681782523295173,0.5543651580810547,0.49350836873054504,0.5401788949966431,0.4795534014701843
16,16,11.21105908978924,178.40756777851774,28.106386434976386,0.554385244846344,0.49346795678138733,0.5398267507553101,0.47801637649536133
