frame,shoulder_angle,hip_angle,elbow_angle,wrist_x,wrist_y,club_x,club_y,club_plane_score,wrist_vx,wrist_vy,club_vx,club_vy,club_speed
0,4.0390727208764625,149.6772877847939,8.006622734451863,0.35464754700660706,0.5763240456581116,0.333640918135643,0.5764765739440918,0.044878585787516245,0.0,0.0,0.0,0.0,0.0
1,4.77116933764207,150.81884666777614,8.368468626234165,0.35627585649490356,0.5761710405349731,0.33440250158309937,0.5763990581035614,0.05301299264046733,0.0016283094882965088,-0.00015300512313842773,0.0007615834474563599,-7.751584053039551e-05,0.0007655181597928607
2,5.342403958730298,151.95795466039178,7.4062065126228855,0.35626208782196045,0.5760720372200012,0.3311757296323776,0.576586902141571,0.05936004398589223,-1.3768672943115234e-05,-9.900331497192383e-05,-0.0032267719507217407,0.00018784403800964355,0.003232234924101334
3,5.876825005314035,153.55095648459525,7.198681050204149,0.3562486469745636,0.575958788394928,0.3321985751390457,0.5750208497047424,0.06529805561460034,-1.3440847396850586e-05,-0.00011324882507324219,0.0010228455066680908,-0.0015660524368286133,0.0018704900869579452
4,5.329036587066207,154.1755946862935,6.289870697485556,0.35664328932762146,0.5755459666252136,0.3303023874759674,0.5751612186431885,0.059211517634069066,0.00039464235305786133,-0.00041282176971435547,-0.001896187663078308,0.00014036893844604492,0.0019013761049542104
5,5.011001062726853,155.3111773052932,5.270146622780025,0.3596818149089813,0.5745977163314819,0.3302229046821594,0.5750317871570587,0.0556777895858539,0.0030385255813598633,-0.0009482502937316895,-7.94827938079834e-05,-0.00012943148612976074,0.000151888196095947
6,4.4326935760800525,156.75430835088275,4.554443995615597,0.36141201853752136,0.5739182829856873,0.33071351051330566,0.574706643819809,0.049252150845333964,0.001730203628540039,-0.0006794333457946777,0.0004906058311462402,-0.00032514333724975586,0.0005885679835945901
7,3.077850128661764,158.49680370419554,7.176763131948784,0.36829742789268494,0.5727803707122803,0.33828459680080414,0.5734700858592987,0.034198334762908456,0.006885409355163574,-0.0011379122734069824,0.007571086287498474,-0.001236557960510254,0.0076714029461662815
8,1.8354317730464578,159.68508321533625,12.407046665129151,0.372720330953598,0.5726155042648315,0.3446829319000244,0.5729934871196747,0.02039368636718275,0.004422903060913086,-0.00016486644744873047,0.006398335099220276,-0.00047659873962402344,0.006416060972319804
9,2.0998298437770853,160.5764900139104,14.88223271608397,0.3748685121536255,0.5725939869880676,0.3528682142496109,0.5705030560493469,0.023331442708634298,0.002148181200027466,-2.1517276763916016e-05,0.008185282349586487,-0.002490431070327759,0.008555763791649811
10,2.8936725778805283,161.59244678047116,13.529953696874866,0.3765698969364166,0.5726085901260376,0.3518953323364258,0.570368081331253,0.03215191753200586,0.0017013847827911377,1.4603137969970703e-05,-0.0009728819131851196,-0.00013497471809387207,0.0009822002807611382
11,2.3882889534940053,163.93910985992534,13.838100081258624,0.378618061542511,0.5733138918876648,0.35187315940856934,0.5706645250320435,0.02653654392771121,0.0020481646060943604,0.0007053017616271973,-2.2172927856445312e-05,0.0002964437007904053,0.0002972717720673096
12,2.9140289138906037,164.96185528005068,13.053960948471845,0.37965714931488037,0.5769138336181641,0.3517608493566513,0.5726770758628845,0.03237809904322897,0.0010390877723693848,0.0035999417304992676,-0.00011231005191802979,0.0020125508308410645,0.0020156821164263204
13,2.439905919953402,166.32320432231876,12.66184344282859,0.3808842897415161,0.5818803310394287,0.353901669383049,0.5752024054527283,0.02711006577726005,0.0012271404266357422,0.0049664974212646484,0.002140820026397705,0.00252532958984375,0.003310649471443009
14,2.1252204561138797,167.9881569337152,11.20361974067674,0.3809715509414673,0.5850839614868164,0.35123057663440704,0.5768220126628876,0.023613560623487517,8.726119995117188e-05,0.0032036304473876953,-0.0026710927486419678,0.0016196072101593018,0.0031237579911138603
15,2.107071110284834,170.76334062215338,9.334001304452467,0.37800392508506775,0.5884460210800171,0.34310369193553925,0.5861620604991913,0.023411901225387055,-0.002967625856399536,0.0033620595932006836,-0.008126884698867798,0.009340047836303711,0.012380741031664186
16,0.8268834819262934,175.45511455559227,11.876944495946182,0.3745022714138031,0.5931270122528076,0.3450964093208313,0.5874737501144409,0.009187594243625474,-0.0035016536712646484,0.004680991172790527,0.0019927173852920532,0.0013116896152496338,0.002385676471024294
17,0.3032812135030924,179.07352258869957,14.682234708446575,0.37070727348327637,0.5974813103675842,0.34954288601875305,0.5899197161197662,0.0033697912611455605,-0.0037949979305267334,0.004354298114776611,0.004446476697921753,0.0024459660053253174,0.005074830511885912
18,0.7241154800409627,179.22499228252946,13.826758742184909,0.36836424469947815,0.602047860622406,0.34807875752449036,0.5934596955776215,0.00804572755601074,-0.0023430287837982178,0.004566550254821777,-0.0014641284942626953,0.0035399794578552246,0.0038308128131962957
19,2.548566710826747,179.11166452354448,13.574281015182793,0.3640550971031189,0.6056607365608215,0.3461291044950485,0.5957103967666626,0.02831740789807502,-0.004309147596359253,0.0036128759384155273,-0.0019496530294418335,0.0022507011890411377,0.00297771771287389
20,2.0010162574196078,179.96952839522157,15.050486972132896,0.3589828610420227,0.608522355556488,0.34327566623687744,0.597213864326477,0.022233513971329,-0.005072236061096191,0.002861618995666504,-0.0028534382581710815,0.0015034675598144531,0.00322529449765581
21,1.9842290180614248,179.78052680542922,13.933189098800216,0.35883957147598267,0.6115346550941467,0.3430642634630203,0.6010507345199585,0.022046989089571367,-0.00014328956604003906,0.0030122995376586914,-0.0002114027738571167,0.0038368701934814453,0.003842689684897914
22,4.689477054495835,175.20964116218852,14.576589022328653,0.3591475486755371,0.6134015321731567,0.3445500284433365,0.6025702059268951,0.05210530060550933,0.00030797719955444336,0.0018668770790100098,0.0014857649803161621,0.0015194714069366455,0.0021251566843957445
23,7.191679053466216,171.25486783502214,17.03285978461102,0.35868385434150696,0.6146020293235779,0.34508436918258667,0.6045241355895996,0.0799075450385135,-0.00046369433403015137,0.0012004971504211426,0.0005343407392501831,0.0019539296627044678,0.0020256754805296003
24,5.983821249517272,171.10847452089592,17.103923789776676,0.35893747210502625,0.6165936589241028,0.34498873353004456,0.6059465110301971,0.0664869027724142,0.0002536177635192871,0.0019916296005249023,-9.563565254211426e-05,0.0014223754405975342,0.0014255869219560711
25,5.856841384725163,172.9424804676715,17.071214953191124,0.3589996099472046,0.6181473135948181,0.3450770825147629,0.6080111861228943,0.06507601538583507,6.213784217834473e-05,0.001553654670715332,8.834898471832275e-05,0.0020646750926971436,0.0020665644876230495
26,7.729762248780113,174.66020951277278,16.857844847105238,0.3591516315937042,0.6186395883560181,0.34657587110996246,0.6077737212181091,0.085886247208668,0.0001520216464996338,0.0004922747611999512,0.001498788595199585,-0.00023746490478515625,0.0015174837179044026
